orig,hira,kana,hepburn,kunrei,passport
刊行,かんこう,カンコウ,kankou,kankou,kanko
勘校,かんこう,カンコウ,kankou,kankou,kanko
勘考,かんこう,カンコウ,kankou,kankou,kanko
勧降,かんこう,カンコウ,kankou,kankou,kanko
完工,かんこう,カンコウ,kankou,kankou,kanko
感光,かんこう,カンコウ,kankou,kankou,kanko
敢行,かんこう,カンコウ,kankou,kankou,kanko
箝口,かんこう,カンコウ,kankou,kankou,kanko
緘口,かんこう,カンコウ,kankou,kankou,kanko
緩行,かんこう,カンコウ,kankou,kankou,kanko
観光,かんこう,カンコウ,kankou,kankou,kanko
還幸,かんこう,カンコウ,kankou,kankou,kanko
勘合,かんごう,カンゴウ,kangou,kangou,kangou
嵌合,かんごう,カンゴウ,kangou,kangou,kangou
雁行,がんこう,ガンコウ,gankou,gankou,ganko
勧告,かんこく,カンコク,kankoku,kankoku,kankoku
監国,かんこく,カンコク,kankoku,kankoku,kankoku
監査,かんさ,カンサ,kansa,kansa,kansa
鑑査,かんさ,カンサ,kansa,kansa,kansa
完済,かんさい,カンサイ,kansai,kansai,kansai
艦載,かんさい,カンサイ,kansai,kansai,kansai
贋作,がんさく,ガンサク,gansaku,gansaku,gansaku
監察,かんさつ,カンサツ,kansatsu,kansatu,kansatsu
観察,かんさつ,カンサツ,kansatsu,kansatu,kansatsu
換算,かんさん,カンサン,kansan,kansan,kansan
渙散,かんさん,カンサン,kansan,kansan,kansan
敢死,かんし,カンシ,kanshi,kansi,kanshi
環視,かんし,カンシ,kanshi,kansi,kanshi
監視,かんし,カンシ,kanshi,kansi,kanshi
看視,かんし,カンシ,kanshi,kansi,kanshi
諫死,かんし,カンシ,kanshi,kansi,kanshi
感謝,かんしゃ,カンシャ,kansha,kansya,kansha
看取,かんしゅ,カンシュ,kanshu,kansyu,kanshu
看守,かんしゅ,カンシュ,kanshu,kansyu,kanshu
感受,かんじゅ,カンジュ,kanju,kanju,kanju
甘受,かんじゅ,カンジュ,kanju,kanju,kanju
監修,かんしゅう,カンシュウ,kanshuu,kansyuu,kanshuu
完熟,かんじゅく,カンジュク,kanjuku,kanjuku,kanjuku
寛恕,かんじょ,カンジョ,kanjo,kanjo,kanjo
緩徐,かんじょ,カンジョ,kanjo,kanjo,kanjo
勧奨,かんしょう,カンショウ,kanshou,kansyou,kanshou
勧賞,かんしょう,カンショウ,kanshou,kansyou,kanshou
完勝,かんしょう,カンショウ,kanshou,kansyou,kanshou
干渉,かんしょう,カンショウ,kanshou,kansyou,kanshou
感賞,かんしょう,カンショウ,kanshou,kansyou,kanshou
管掌,かんしょう,カンショウ,kanshou,kansyou,kanshou
観照,かんしょう,カンショウ,kanshou,kansyou,kanshou
観賞,かんしょう,カンショウ,kanshou,kansyou,kanshou
鑑賞,かんしょう,カンショウ,kanshou,kansyou,kanshou
関渉,かんしょう,カンショウ,kanshou,kansyou,kanshou
勘定,かんじょう,カンジョウ,kanjou,kanjou,kanjou
感情移入,かんじょういにゅう,カンジョウイニュウ,kanjouinyuu,kanjouinyuu,kanjouinyuu
感触,かんしょく,カンショク,kanshoku,kansyoku,kanshoku
間食,かんしょく,カンショク,kanshoku,kansyoku,kanshoku
寒心,かんしん,カンシン,kanshin,kansin,kanshin
感心,かんしん,カンシン,kanshin,kansin,kanshin
感震,かんしん,カンシン,kanshin,kansin,kanshin
勘申,かんじん,カンジン,kanjin,kanzin,kanjin
冠水,かんすい,カンスイ,kansui,kansui,kansui
完遂,かんすい,カンスイ,kansui,kansui,kansui
潅水,かんすい,カンスイ,kansui,kansui,kansui
灌水,かんすい,カンスイ,kansui,kansui,kansui
売淫,ばいいん,バイイン,baiin,baiin,baiin
完成,かんせい,カンセイ,kansei,kansei,kansei
尊信,そんしん,ソンシン,sonshin,sonsin,sonshin
帰朝,きちょう,キチョウ,kichou,kityou,kicho
独吟,どくぎん,ドクギン,dokugin,dokugin,dokugin
監製,かんせい,カンセイ,kansei,kansei,kansei
管制,かんせい,カンセイ,kansei,kansei,kansei
冠雪,かんせつ,カンセツ,kansetsu,kansetu,kansetsu
官設,かんせつ,カンセツ,kansetsu,kansetu,kansetsu
関説,かんせつ,カンセツ,kansetsu,kansetu,kansetsu
冠絶,かんぜつ,カンゼツ,kanzetsu,kanzetu,kanzetsu
官撰,かんせん,カンセン,kansen,kansen,kansen
官選,かんせん,カンセン,kansen,kansen,kansen
感染,かんせん,カンセン,kansen,kansen,kansen
観戦,かんせん,カンセン,kansen,kansen,kansen
貫穿,かんせん,カンセン,kansen,kansen,kansen
勧善,かんぜん,カンゼン,kanzen,kanzen,kanzen
間然,かんぜん,カンゼン,kanzen,kanzen,kanzen
完全燃焼,かんぜんねんしょう,カンゼンネンショウ,kanzennenshou,kanzennensyou,kanzennenshou
乾燥,かんそう,カンソウ,kansou,kansou,kanso
乾草,かんそう,カンソウ,kansou,kansou,kanso
完走,かんそう,カンソウ,kansou,kansou,kanso
換装,かんそう,カンソウ,kansou,kansou,kanso
檻送,かんそう,カンソウ,kansou,kansou,kanso
歓送,かんそう,カンソウ,kansou,kansou,kanso
観想,かんそう,カンソウ,kansou,kansou,kanso
観相,かんそう,カンソウ,kansou,kansou,kanso
諫奏,かんそう,カンソウ,kansou,kansou,kanso
還送,かんそう,カンソウ,kansou,kansou,kanso
間奏,かんそう,カンソウ,kansou,kansou,kanso
含嗽,がんそう,ガンソウ,gansou,gansou,ganso
含漱,うがい,ウガイ,ugai,ugai,ugai
贋造,がんぞう,ガンゾウ,ganzou,ganzou,ganzou
簡素化,かんそか,カンソカ,kansoka,kansoka,kansoka
観測,かんそく,カンソク,kansoku,kansoku,kansoku
款待,かんたい,カンタイ,kantai,kantai,kantai
歓待,かんたい,カンタイ,kantai,kantai,kantai
眼帯,がんたい,ガンタイ,gantai,gantai,gantai
感歎,かんたん,カンタン,kantan,kantan,kantan
歓談,かんだん,カンダン,kandan,kandan,kandan
閑談,かんだん,カンダン,kandan,kandan,kandan
完治,かんち,カンチ,kanchi,kanti,kanchi
感知,かんち,カンチ,kanchi,kanti,kanchi
換地,かんち,カンチ,kanchi,kanti,kanchi
関知,かんち,カンチ,kanchi,kanti,kanchi
浣腸,かんちょう,カンチョウ,kanchou,kantyou,kancho
間諜,かんちょう,カンチョウ,kanchou,kantyou,kancho
姦通,かんつう,カンツウ,kantsuu,kantuu,kantsuu
貫通,かんつう,カンツウ,kantsuu,kantuu,kantsuu
鑑定,かんてい,カンテイ,kantei,kantei,kantei
完徹,かんてつ,カンテツ,kantetsu,kantetu,kantetsu
貫徹,かんてつ,カンテツ,kantetsu,kantetu,kantetsu
感電,かんでん,カンデン,kanden,kanden,kanden
還都,かんと,カント,kanto,kanto,kanto
完投,かんとう,カントウ,kantou,kantou,kanto
敢闘,かんとう,カントウ,kantou,kantou,kanto
勘当,かんどう,カンドウ,kandou,kandou,kandou
感動,かんどう,カンドウ,kandou,kandou,kandou
貫道,かんどう,カンドウ,kandou,kandou,kandou
感得,かんとく,カントク,kantoku,kantoku,kantoku
監督,かんとく,カントク,kantoku,kantoku,kantoku
嵌頓,かんとん,カントン,kanton,kanton,kanton
艱難,かんなん,カンナン,kannan,kannan,kannan
嵌入,かんにゅう,カンニュウ,kannyuu,kannyuu,kannyuu
陥入,かんにゅう,カンニュウ,kannyuu,kannyuu,kannyuu
カンニング,かんにんぐ,カンニング,kanningu,kanningu,kanningu
観念,かんねん,カンネン,kannen,kannen,kannen
完納,かんのう,カンノウ,kannou,kannou,kannou
感応,かんのう,カンノウ,kannou,kannou,kannou
カンパ,かんぱ,カンパ,kanpa,kanpa,kampa
看破,かんぱ,カンパ,kanpa,kanpa,kampa
完売,かんばい,カンバイ,kanbai,kanbai,kambai
観梅,かんばい,カンバイ,kanbai,kanbai,kambai
乾杯,かんぱい,カンパイ,kanpai,kanpai,kampai
乾盃,かんぱい,カンパイ,kanpai,kanpai,kampai
勧杯,かんぱい,カンパイ,kanpai,kanpai,kampai
勧盃,かんぱい,カンパイ,kanpai,kanpai,kampai
完敗,かんぱい,カンパイ,kanpai,kanpai,kampai
感佩,かんぱい,カンパイ,kanpai,kanpai,kampai
簡抜,かんばつ,カンバツ,kanbatsu,kanbatu,kambatsu
渙発,かんぱつ,カンパツ,kanpatsu,kanpatu,kampatsu
煥発,かんぱつ,カンパツ,kanpatsu,kanpatu,kampatsu
干犯,かんぱん,カンパン,kanpan,kanpan,kampan
看病,かんびょう,カンビョウ,kanbyou,kanbyou,kambiyou
還付,かんぷ,カンプ,kanpu,kanpu,kampu
完封,かんぷう,カンプウ,kanpuu,kanpuu,kampuu
感服,かんぷく,カンプク,kanpuku,kanpuku,kampuku
換物,かんぶつ,カンブツ,kanbutsu,kanbutu,kambutsu
観兵,かんぺい,カンペイ,kanpei,kanpei,kampei
鑑別,かんべつ,カンベツ,kanbetsu,kanbetu,kambetsu
観望,かんぼう,カンボウ,kanbou,kanbou,kanbo
願望,がんぼう,ガンボウ,ganbou,ganbou,ganbo
翰墨,かんぼく,カンボク,kanboku,kanboku,kanboku
官没,かんぼつ,カンボツ,kanbotsu,kanbotu,kanbotsu
陥没,かんぼつ,カンボツ,kanbotsu,kanbotu,kanbotsu
含味,がんみ,ガンミ,ganmi,ganmi,gammi
玩味,がんみ,ガンミ,ganmi,ganmi,gammi
感銘,かんめい,カンメイ,kanmei,kanmei,kammei
肝銘,かんめい,カンメイ,kanmei,kanmei,kammei
緘黙,かんもく,カンモク,kanmoku,kanmoku,kammoku
勘問,かんもん,カンモン,kanmon,kanmon,kammon
喚問,かんもん,カンモン,kanmon,kanmon,kammon
完訳,かんやく,カンヤク,kanyaku,kanyaku,kanyaku
漢訳,かんやく,カンヤク,kanyaku,kanyaku,kanyaku
監訳,かんやく,カンヤク,kanyaku,kanyaku,kanyaku
簡約,かんやく,カンヤク,kanyaku,kanyaku,kanyaku
勧誘,かんゆう,カンユウ,kanyuu,kanyuu,kanyuu
含有,がんゆう,ガンユウ,ganyuu,ganyuu,ganyuu
干与,かんよ,カンヨ,kanyo,kanyo,kanyo
関与,かんよ,カンヨ,kanyo,kanyo,kanyo
寛容,かんよう,カンヨウ,kanyou,kanyou,kanyou
慣用,かんよう,カンヨウ,kanyou,kanyou,kanyou
歓楽,かんらく,カンラク,kanraku,kanraku,kanraku
陥落,かんらく,カンラク,kanraku,kanraku,kanraku
観覧,かんらん,カンラン,kanran,kanran,kanran
監理,かんり,カンリ,kanri,kanri,kanri
管理,かんり,カンリ,kanri,kanri,kanri
乾溜,かんりゅう,カンリュウ,kanryuu,kanryuu,kanryuu
乾留,かんりゅう,カンリュウ,kanryuu,kanryuu,kanryuu
貫流,かんりゅう,カンリュウ,kanryuu,kanryuu,kanryuu
還流,かんりゅう,カンリュウ,kanryuu,kanryuu,kanryuu
完了,かんりょう,カンリョウ,kanryou,kanryou,kanryou
感涙,かんるい,カンルイ,kanrui,kanrui,kanrui
勧励,かんれい,カンレイ,kanrei,kanrei,kanrei
管領,かんりょう,カンリョウ,kanryou,kanryou,kanryou
関連,かんれん,カンレン,kanren,kanren,kanren
玩弄,がんろう,ガンロウ,ganrou,ganrou,ganrou
翫弄,がんろう,ガンロウ,ganrou,ganrou,ganrou
緩和,かんわ,カンワ,kanwa,kanwa,kanwa
記,き,キ,ki,ki,ki
祈雨,きう,キウ,kiu,kiu,kiu
機運,きうん,キウン,kiun,kiun,kiun
帰依,きえ,キエ,kie,kie,kie
帰営,きえい,キエイ,kiei,kiei,kiei
棄捐,きえん,キエン,kien,kien,kien
義捐,ぎえん,ギエン,gien,gien,gien
既往,きおう,キオウ,kiou,kiou,kio
記憶,きおく,キオク,kioku,kioku,kioku
きおくれ,きおくれ,キオクレ,kiokure,kiokure,kiokure
きおち,きおち,キオチ,kiochi,kioti,kiochi
帰化,きか,キカ,kika,kika,kika
気化,きか,キカ,kika,kika,kika
帰臥,きが,キガ,kiga,kiga,kiga
起臥,きが,キガ,kiga,kiga,kiga
帰家,きか,キカ,kika,kika,kika
機械翻訳,きかいほんやく,キカイホンヤク,kikaihonyaku,kikaihonyaku,kikaihonyaku
きがえ,きがえ,キガエ,kigae,kigae,kigae
企劃,きかく,キカク,kikaku,kikaku,kikaku
企画,きかく,キカク,kikaku,kikaku,kikaku
飢渇,きかつ,キカツ,kikatsu,kikatu,kikatsu
帰艦,きかん,キカン,kikan,kikan,kikan
帰還,きかん,キカン,kikan,kikan,kikan
帰館,きかん,キカン,kikan,kikan,kikan
祈願,きがん,キガン,kigan,kigan,kigan
忌諱,きき,キキ,kiki,kiki,kiki
毀棄,きき,キキ,kiki,kiki,kiki
危疑,きぎ,キギ,kigi,kigi,kigi
嬉戯,きぎ,キギ,kigi,kigi,kigi
棄却,ききゃく,キキャク,kikyaku,kikyaku,kikyaku
企及,ききゅう,キキュウ,kikyuu,kikyuu,kikyuu
帰休,ききゅう,キキュウ,kikyuu,kikyuu,kikyuu
寄居,よりい,ヨリイ,yorii,yorii,yorii
欷歔,ききょ,キキョ,kikyo,kikyo,kikyo
起居,ききょ,キキョ,kikyo,kikyo,kikyo
帰京,ききょう,キキョウ,kikyou,kikyou,kikyou
帰敬,ききょう,キキョウ,kikyou,kikyou,kikyou
帰郷,ききょう,キキョウ,kikyou,kikyou,kikyou
起業,きぎょう,キギョウ,kigyou,kigyou,kigyou
危懼,きく,キク,kiku,kiku,kiku
寄寓,きぐう,キグウ,kiguu,kiguu,kiguu
きくばり,きくばり,キクバリ,kikubari,kikubari,kikubari
帰結,きけつ,キケツ,kiketsu,kiketu,kiketsu
棄権,きけん,キケン,kiken,kiken,kiken
危言,きげん,キゲン,kigen,kigen,kigen
奇効,きこう,キコウ,kikou,kikou,kiko
寄港,きこう,キコウ,kikou,kikou,kiko
寄稿,きこう,キコウ,kikou,kikou,kiko
寄航,きこう,キコウ,kikou,kikou,kiko
帰校,きこう,キコウ,kikou,kikou,kiko
帰港,きこう,キコウ,kikou,kikou,kiko
帰航,きこう,キコウ,kikou,kikou,kiko
気功,きこう,キコウ,kikou,kikou,kiko
起稿,きこう,キコウ,kikou,kikou,kiko
揮毫,きごう,キゴウ,kigou,kigou,kigou
帰国,きこく,キコク,kikoku,kikoku,kikoku
記載,きさい,キサイ,kisai,kisai,kisai
起債,きさい,キサイ,kisai,kisai,kisai
帰参,きさん,キサン,kisan,kisan,kisan
起算,きさん,キサン,kisan,kisan,kisan
愧死,きし,キシ,kishi,kisi,kishi
気死,きし,キシ,kishi,kisi,kishi
擬死,ぎし,ギシ,gishi,gisi,gishi
喜捨,きしゃ,キシャ,kisha,kisya,kisha
帰社,きしゃ,キシャ,kisha,kisya,kisha
騎射,きしゃ,キシャ,kisha,kisya,kisha
記者会見,きしゃかいけん,キシャカイケン,kishakaiken,kisyakaiken,kishakaiken
希釈,きしゃく,キシャク,kishaku,kisyaku,kishaku
稀釈,きしゃく,キシャク,kishaku,kisyaku,kishaku
奇襲,きしゅう,キシュウ,kishuu,kisyuu,kishuu
既習,きしゅう,キシュウ,kishuu,kisyuu,kishuu
寄宿,きしゅく,キシュク,kishuku,kisyuku,kishuku
記述,きじゅつ,キジュツ,kijutsu,kijutu,kijutsu
帰順,きじゅん,キジュン,kijun,kijun,kijun
寄書,きしょ,キショ,kisho,kisyo,kisho
嘻笑,きしょう,キショウ,kishou,kisyou,kishou
奇勝,きしょう,キショウ,kishou,kisyou,kishou
奇捷,きしょう,キショウ,kishou,kisyou,kishou
嬉笑,きしょう,キショウ,kishou,kisyou,kishou
帰商,きしょう,キショウ,kishou,kisyou,kishou
毀傷,きしょう,キショウ,kishou,kisyou,kishou
記誦,きしょう,キショウ,kishou,kisyou,kishou
起床,きしょう,キショウ,kishou,kisyou,kishou
起請,きしょう,キショウ,kishou,kisyou,kishou
偽称,ぎしょう,ギショウ,gishou,gisyou,gishou
偽証,ぎしょう,ギショウ,gishou,gisyou,gishou
寄進,きしん,キシン,kishin,kisin,kishin
帰陣,きじん,キジン,kijin,kizin,kijin
擬人化,ぎじんか,ギジンカ,gijinka,gizinka,gijinka
キス,きす,キス,kisu,kisu,kisu
帰趨,きすう,キスウ,kisuu,kisuu,kisuu
寄生,きせい,キセイ,kisei,kisei,kisei
帰省,きせい,キセイ,kisei,kisei,kisei
祈誓,きせい,キセイ,kisei,kisei,kisei
祈請,きせい,キセイ,kisei,kisei,kisei
規制,きせい,キセイ,kisei,kisei,kisei
規整,きせい,キセイ,kisei,kisei,kisei
規正,きせい,キセイ,kisei,kisei,kisei
擬製,ぎせい,ギセイ,gisei,gisei,gisei
帰籍,きせき,キセキ,kiseki,kiseki,kiseki
既設,きせつ,キセツ,kisetsu,kisetu,kisetsu
気絶,きぜつ,キゼツ,kizetsu,kizetu,kizetsu
義絶,ぎぜつ,ギゼツ,gizetsu,gizetu,gizetsu
帰船,きせん,キセン,kisen,kisen,kisen
起訴,きそ,キソ,kiso,kiso,kiso
起草,きそう,キソウ,kisou,kisou,kiso
寄蔵,きぞう,キゾウ,kizou,kizou,kizou
寄贈,きぞう,キゾウ,kizou,kizou,kizou
偽装,ぎそう,ギソウ,gisou,gisou,giso
擬装,ぎそう,ギソウ,gisou,gisou,giso
艤装,ぎそう,ギソウ,gisou,gisou,giso
議奏,ぎそう,ギソウ,gisou,gisou,giso
偽造,ぎぞう,ギゾウ,gizou,gizou,gizou
帰属,きぞく,キゾク,kizoku,kizoku,kizoku
毀損,きそん,キソン,kison,kison,kison
期待,きたい,キタイ,kitai,kitai,kitai
寄託,きたく,キタク,kitaku,kitaku,kitaku
帰宅,きたく,キタク,kitaku,kitaku,kitaku
忌憚,きたん,キタン,kitan,kitan,kitan
愧赧,きたん,キタン,kitan,kitan,kitan
帰着,きちゃく,キチャク,kichaku,kityaku,kichaku
記帳,きちょう,キチョウ,kichou,kityou,kicho
喫煙,きつえん,キツエン,kitsuen,kituen,kitsuen
きづかい,きづかい,キヅカイ,kizukai,kizukai,kizukai
キックバック,きっくばっく,キックバック,kikkubakku,kikkubakku,kikkubakku
吃驚,きっきょう,キッキョウ,kikkyou,kikkyou,kikkyou
喫驚,きっきょう,キッキョウ,kikkyou,kikkyou,kikkyou
拮抗,きっこう,キッコウ,kikkou,kikkou,kikkou
頡頏,きっこう,キッコウ,kikkou,kikkou,kikkou
譎詐,きっさ,キッサ,kissa,kissa,kissa
詰問,きつもん,キツモン,kitsumon,kitumon,kitsumon
屹立,きつりつ,キツリツ,kitsuritsu,kituritu,kitsuritsu
規定,きてい,キテイ,kitei,kitei,kitei
議定,ぎてい,ギテイ,gitei,gitei,gitei
帰天,きてん,キテン,kiten,kiten,kiten
気転,きてん,キテン,kiten,kiten,kiten
起電,きでん,キデン,kiden,kiden,kiden
企図,きと,キト,kito,kito,kito
喜怒,きど,キド,kido,kido,kido
帰投,きとう,キトウ,kitou,kitou,kito
祈祷,きとう,キトウ,kitou,kitou,kito
飢凍,きとう,キトウ,kitou,kitou,kito
起動,きどう,キドウ,kidou,kidou,kidou
既得,きとく,キトク,kitoku,kitoku,kitoku
きどり,きどり,キドリ,kidori,kidori,kidori
きながし,きながし,キナガシ,kinagashi,kinagasi,kinagashi
帰日,きにち,キニチ,kinichi,kiniti,kinichi
記入,きにゅう,キニュウ,kinyuu,kinyuu,kinyuu
祈念,きねん,キネン,kinen,kinen,kinen
帰納,きのう,キノウ,kinou,kinou,kinou
帰農,きのう,キノウ,kinou,kinou,kinou
機能,きのう,キノウ,kinou,kinou,kinou
気の毒,きのどく,キノドク,kinodoku,kinodoku,kinodoku
きのぼり,きのぼり,キノボリ,kinobori,kinobori,kinobori
きのり,きのり,キノリ,kinori,kinori,kinori
騎馬戦,きばせん,キバセン,kibasen,kibasen,kibasen
揮発,きはつ,キハツ,kihatsu,kihatu,kihatsu
きばらし,きばらし,キバラシ,kibarashi,kibarasi,kibarashi
帰帆,きはん,キハン,kihan,kihan,kihan
帰阪,きはん,キハン,kihan,kihan,kihan
起番,きばん,キバン,kiban,kiban,kiban
基肥,きひ,キヒ,kihi,kihi,kihi
忌避,きひ,キヒ,kihi,kihi,kihi
羈縻,きび,キビ,kibi,kibi,kibi
起筆,きひつ,キヒツ,kihitsu,kihitu,kihitsu
寄付,きふ,キフ,kifu,kifu,kifu
寄附,きふ,キフ,kifu,kifu,kifu
記譜,きふ,キフ,kifu,kifu,kifu
起伏,きふく,キフク,kifuku,kifuku,kifuku
既報,きほう,キホウ,kihou,kihou,kihou
冀望,きぼう,キボウ,kibou,kibou,kibo
希望,きぼう,キボウ,kibou,kibou,kibo
毀謗,きぼう,キボウ,kibou,kibou,kibo
きぼり,きぼり,キボリ,kibori,kibori,kibori
欺瞞,ぎまん,ギマン,giman,giman,giman
記名,きめい,キメイ,kimei,kimei,kimei
起毛,きもう,キモウ,kimou,kimou,kimou
欺罔,きもう,キモウ,kimou,kimou,kimou
奇問,きもん,キモン,kimon,kimon,kimon
疑問視,ぎもんし,ギモンシ,gimonshi,gimonsi,gimonshi
虐殺,ぎゃくさつ,ギャクサツ,gyakusatsu,gyakusatu,gyakusatsu
逆産,ぎゃくざん,ギャクザン,gyakuzan,gyakuzan,gyakuzan
逆算,ぎゃくさん,ギャクサン,gyakusan,gyakusan,gyakusan
逆襲,ぎゃくしゅう,ギャクシュウ,gyakushuu,gyakusyuu,gyakushuu
逆上,ぎゃくじょう,ギャクジョウ,gyakujou,gyakujou,gyakujou
脚色,きゃくしょく,キャクショク,kyakushoku,kyakusyoku,kyakushoku
逆進,ぎゃくしん,ギャクシン,gyakushin,gyakusin,gyakushin
逆走,ぎゃくそう,ギャクソウ,gyakusou,gyakusou,gyakuso
虐待,ぎゃくたい,ギャクタイ,gyakutai,gyakutai,gyakutai
逆転,ぎゃくてん,ギャクテン,gyakuten,gyakuten,gyakuten
客引き,きゃくひき,キャクヒキ,kyakuhiki,kyakuhiki,kyakuhiki
逆戻り,ぎゃくもどり,ギャクモドリ,gyakumodori,gyakumodori,gyakumodori
逆輸入,ぎゃくゆにゅう,ギャクユニュウ,gyakuyunyuu,gyakuyunyuu,gyakuyunyuu
逆流,ぎゃくりゅう,ギャクリュウ,gyakuryuu,gyakuryuu,gyakuryuu
キャスト,きゃすと,キャスト,kyasuto,kyasuto,kyasuto
却下,きゃっか,キャッカ,kyakka,kyakka,kyakka
却行,きゃっこう,キャッコウ,kyakkou,kyakkou,kyakkou
逆行,ぎゃっこう,ギャッコウ,gyakkou,gyakkou,gyakkou
キャッチ・アップ,きゃっち・あっぷ,キャッチ・アップ,kyatchi・appu,kyatti・appu,kyatchi・appu
キャップ,きゃっぷ,キャップ,kyappu,kyappu,kyappu
キャンセル,きゃんせる,キャンセル,kyanseru,kyanseru,kyanseru
キャンプ,きゃんぷ,キャンプ,kyanpu,kyanpu,kyampu
窺窬,きゆ,キユ,kiyu,kiyu,kiyu
覬覦,きゆ,キユ,kiyu,kiyu,kiyu
嬉遊,きゆう,キユウ,kiyuu,kiyuu,kiyuu
求愛,きゅうあい,キュウアイ,kyuuai,kyuuai,kyuuai
吸引,きゅういん,キュウイン,kyuuin,kyuuin,kyuuin
吸飲,きゅういん,キュウイン,kyuuin,kyuuin,kyuuin
休園,きゅうえん,キュウエン,kyuuen,kyuuen,kyuuen
休演,きゅうえん,キュウエン,kyuuen,kyuuen,kyuuen
救援,きゅうえん,キュウエン,kyuuen,kyuuen,kyuuen
休学,きゅうがく,キュウガク,kyuugaku,kyuugaku,kyuugaku
休刊,きゅうかん,キュウカン,kyuukan,kyuukan,kyuukan
休閑,きゅうかん,キュウカン,kyuukan,kyuukan,kyuukan
休館,きゅうかん,キュウカン,kyuukan,kyuukan,kyuukan
救急,きゅうきゅう,キュウキュウ,kyuukyuu,kyuukyuu,kyuukyuu
休業,きゅうぎょう,キュウギョウ,kyuugyou,kyuugyou,kyuugyou
求刑,きゅうけい,キュウケイ,kyuukei,kyuukei,kyuukei
休憩,きゅうけい,キュウケイ,kyuukei,kyuukei,kyuukei
急減,きゅうげん,キュウゲン,kyuugen,kyuugen,kyuugen
救護,きゅうご,キュウゴ,kyuugo,kyuugo,kyuugo
休校,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
休耕,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
休航,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
休講,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
急行,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
救荒,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
躬行,きゅうこう,キュウコウ,kyuukou,kyuukou,kyuuko
糾合,きゅうごう,キュウゴウ,kyuugou,kyuugou,kyuugou
鳩合,きゅうごう,キュウゴウ,kyuugou,kyuugou,kyuugou
急降下,きゅうこうか,キュウコウカ,kyuukouka,kyuukouka,kyuukoka
求婚,きゅうこん,キュウコン,kyuukon,kyuukon,kyuukon
休載,きゅうさい,キュウサイ,kyuusai,kyuusai,kyuusai
救済,きゅうさい,キュウサイ,kyuusai,kyuusai,kyuusai
休止,きゅうし,キュウシ,kyuushi,kyuusi,kyuushi
急死,きゅうし,キュウシ,kyuushi,kyuusi,kyuushi
窮死,きゅうし,キュウシ,kyuushi,kyuusi,kyuushi
給仕,きゅうじ,キュウジ,kyuuji,kyuuzi,kyuuji
給餌,きゅうじ,キュウジ,kyuuji,kyuuzi,kyuuji
吸湿,きゅうしつ,キュウシツ,kyuushitsu,kyuusitu,kyuushitsu
吸収,きゅうしゅう,キュウシュウ,kyuushuu,kyuusyuu,kyuushuu
急襲,きゅうしゅう,キュウシュウ,kyuushuu,kyuusyuu,kyuushuu
窮愁,きゅうしゅう,キュウシュウ,kyuushuu,kyuusyuu,kyuushuu
救出,きゅうしゅつ,キュウシュツ,kyuushutsu,kyuusyutu,kyuushutsu
救助,きゅうじょ,キュウジョ,kyuujo,kyuujo,kyuujo
急上昇,きゅうじょうしょう,キュウジョウショウ,kyuujoushou,kyuujousyou,kyuujoushou
休職,きゅうしょく,キュウショク,kyuushoku,kyuusyoku,kyuushoku
求職,きゅうしょく,キュウショク,kyuushoku,kyuusyoku,kyuushoku
休心,きゅうしん,キュウシン,kyuushin,kyuusin,kyuushin
休神,きゅうしん,キュウシン,kyuushin,kyuusin,kyuushin
休診,きゅうしん,キュウシン,kyuushin,kyuusin,kyuushin
急伸,きゅうしん,キュウシン,kyuushin,kyuusin,kyuushin
急進,きゅうしん,キュウシン,kyuushin,kyuusin,kyuushin
汲水,きゅうすい,キュウスイ,kyuusui,kyuusui,kyuusui
給水,きゅうすい,キュウスイ,kyuusui,kyuusui,kyuusui
吸水,きゅうすい,キュウスイ,kyuusui,kyuusui,kyuusui
急逝,きゅうせい,キュウセイ,kyuusei,kyuusei,kyuusei
求積,きゅうせき,キュウセキ,kyuuseki,kyuuseki,kyuuseki
休戦,きゅうせん,キュウセン,kyuusen,kyuusen,kyuusen
急戦,きゅうせん,キュウセン,kyuusen,kyuusen,kyuusen
泣訴,きゅうそ,キュウソ,kyuuso,kyuuso,kyuuso
急送,きゅうそう,キュウソウ,kyuusou,kyuusou,kyuuso
給桑,きゅうそう,キュウソウ,kyuusou,kyuusou,kyuuso
急増,きゅうぞう,キュウゾウ,kyuuzou,kyuuzou,kyuuzou
旧蔵,きゅうぞう,キュウゾウ,kyuuzou,kyuuzou,kyuuzou
急造,きゅうぞう,キュウゾウ,kyuuzou,kyuuzou,kyuuzou
休息,きゅうそく,キュウソク,kyuusoku,kyuusoku,kyuusoku
休題,きゅうだい,キュウダイ,kyuudai,kyuudai,kyuudai
給炭,きゅうたん,キュウタン,kyuutan,kyuutan,kyuutan
糺弾,きゅうだん,キュウダン,kyuudan,kyuudan,kyuudan
糾弾,きゅうだん,キュウダン,kyuudan,kyuudan,kyuudan
